"站台编号",报站语音,站名,经度,纬度,角度,进站广告,出站广告,进站提示,出站提示,进站扩展,出站扩展,限速,站前里程,是否大站,外音开否
0,wy,汪窑,11353.5034,3055.4614,N,,支付宝语音,,,,,50,5,起点站,否
1,yjxsyjwsy,一技校书院街卫生院,11353.7447,3055.4169,N,,消防语音,,,,,50,25,小站,否
2,aeykhljx,爱尔眼科合力驾校,11353.9479,3055.3928,N,,,,,,,50,25,小站,否
3,hyddhh,槐荫大道后湖,11354.2144,3055.3698,N,,支付宝语音,,,,,50,25,小站,否
4,bmktzj,北门口台子街,11354.5044,3055.3267,N,,消防语音,,,,,50,25,小站,否
5,ddmsyczyy,大东门商业城中医院,11354.792,3055.1931,N,,,,,,,50,25,小站,否
6,czltzgjjd,长征路天紫国际酒店,11354.9939,3055.0698,N,,支付宝语音,,,,,50,25,小站,否
7,hyddyqlk,槐荫大道玉泉路口,11355.3026,3054.8779,N,,消防语音,,,,,50,25,小站,否
8,kyzx,客运中心,11355.4537,3054.7876,N,,,,,,,50,25,小站,否
9,xalbxj,香澳路步行街,11355.7212,3054.6761,N,,支付宝语音,,,,,50,25,小站,否
10,djw,翟家湾,11355.8875,3054.7132,N,,消防语音,,,,,50,25,小站,否
11,bjyl,北京一路,11355.9057,3054.8581,N,,,,,,,50,25,小站,否
12,bjel,北京二路,11355.9255,3054.9965,N,,支付宝语音,,,,,50,25,小站,否
13,hkyx,汉口银行,11356.0005,3055.1941,N,,消防语音,,,,,50,25,小站,否
14,qkgw,乾坤购物,11356.2958,3055.1664,N,,,,,,,50,25,小站,否
15,dylkxzzx,董永路口行政中心,11356.9305,3055.1675,N,,支付宝语音,,,,,50,25,小站,否
16,smzj,市民之家,11356.885,3055.3976,N,,消防语音,,,,,50,25,小站,否
17,bhtd,滨湖天地,11356.8542,3055.573,N,,,,,,,50,25,小站,否
18,xf,消防,11356.7974,3055.8518,N,,支付宝语音,,,,,50,25,小站,否
19,xgdzgc,孝感东站广场,11356.7115,3056.2393,N,,消防语音,,,,,50,5,小站,否
20,xgdz,孝感东站,11356.5614,3056.0812,N,,,,,,,30,10,终点站,否

