"站台编号",报站语音,站名,经度,纬度,角度,进站广告,出站广告,进站提示,出站提示,进站扩展,出站扩展,限速,站前里程,是否大站,外音开否
0,zxyy,中心医院,11354.2967,3055.7164,N,,支付宝语音,,,,,40,5,起点站,否
1,hhxl,后湖西路,11354.2888,3055.5427,N,,消防语音,,,,,40,15,小站,否
2,hyddhh,槐荫大道后湖,11354.1866,3055.3516,N,,,,,,,40,25,小站,否
3,bmk,北门口,11354.4642,3055.421,N,,支付宝语音,,,,,40,25,小站,否
4,rmgc,人民广场,11354.5698,3055.5476,N,,消防语音,,,,,40,25,小站,否
5,sfybjy,市妇幼保健院,11354.6641,3055.6548,N,,,,,,,40,25,小站,否
6,zdszb,城站文化路口,11354.8204,3055.7355,N,,支付宝语音,,,,,40,25,小站,否
7,whlyllk,文化路园林路口,11354.9556,3055.6461,N,,消防语音,,,,,40,25,小站,否
8,whlfclk,文化路付冲路口,11355.072,3055.5735,N,,,,,,,40,25,小站,否
9,whlczl,文化路长征路口,11355.2685,3055.4459,N,,支付宝语音,,,,,40,25,小站,否
10,chzx,楚环中学,11355.4395,3055.3663,N,,消防语音,,,,,40,25,小站,否
11,xalbxj,香澳路步行街,11355.836,3055.2134,N,,,,,,,40,25,小站,否
12,hkyh,汉口银行,11356.0018,3055.1947,N,,支付宝语音,,,,,40,25,小站,否
13,qkgw,乾坤购物,11356.2971,3055.1617,N,,消防语音,,,,,40,25,小站,否
14,wlxd,蔚蓝新都,11356.5228,3055.2651,N,,,,,,,40,25,小站,否
15,dyzx,丹阳中学,11356.3299,3055.5287,N,,支付宝语音,,,,,40,25,小站,否
16,gqsq,桂桥社区,11355.9952,3055.542,N,,消防语音,,,,,40,25,小站,否
17,bjljslk,北京路建设路口,11356.0261,3055.7886,N,,,,,,,40,25,小站,否
18,hajd,华安酒店,11356.0587,3056.0207,N,,支付宝语音,,,,,40,25,小站,否
19,yqsq,严桥社区,11356.0886,3056.2639,N,,消防语音,,,,,40,25,小站,否
20,bjltylk,北京路体育路口,11356.1254,3056.4911,N,,,,,,,40,25,小站,否
21,txlbjlk,天仙路北京路口,11356.2526,3056.6194,N,,支付宝语音,,,,,50,25,小站,否
22,yasc,永安市场,11356.6768,3057.4849,N,,消防语音,,,,,50,25,小站,否
23,jjsdd,交警三大队,11356.6212,3057.9388,N,,,,,,,50,25,小站,否
24,jqxtd,剑桥鑫天地,11356.5739,3058.1257,N,,支付宝语音,,,,,50,5,终点站,否

