"站台编号",报站语音,站名,经度,纬度,角度,进站广告,出站广告,进站提示,出站提示,进站扩展,出站扩展,限速,站前里程,是否大站,外音开否
0,白沙总站,白沙总站,11405.8252,2242.7232,N,,,,,,,25,40,起点站,是
1,岗新小学,岗新小学,11405.8666,2242.5399,176,,,,,,,25,20,小站,是
2,白沙屠宰,白沙屠宰场,11405.8656,2242.2623,198,,,,,,,25,20,小站,是
3,上横冈路,上横岗路口,11405.7625,2242.0062,200,,,,,,,25,20,大站,是
4,窖头桥西,窖头桥西,11405.7528,2241.7049,164,,,,,,,25,20,小站,是
5,窖头桥东,窖头桥东,11405.8562,2241.491,161,,,,,,,35,20,小站,是
6,城郊中学,城郊中学,11405.8988,2241.4007,157,,,,,,,35,20,小站,是
7,和平路口,和平路口,11406.0405,2241.2176,102,,,,,,,35,20,小站,是
8,大令总站,大令总站,11406.1676,2241.1918,102,,,,,,,35,30,终点站,是

