"站台编号",报站语音,站名,经度,纬度,角度,进站广告,出站广告,进站提示,出站提示,进站扩展,出站扩展,限速,站前里程,是否大站,外音开否
0,两阳中学,两阳中学,11405.8766,2242.3117,187,,,,,,,38,40,起点站,是
1,康泰路口,康泰路口,11405.7745,2242.1096,299,龙骧巴士,,,1转,,,38,20,小站,是
2,富地花园,富地花园,11405.5452,2242.1204,260,龙骧巴士,,,,,扒手用语,38,20,小站,是
3,金河湾,金河湾,11405.2775,2242.1156,126,龙骧巴士,,,2转2,,卫生用语,38,20,小站,是
4,刀具城,刀具城,11405.4163,2242.0888,83,龙骧巴士,,,,,行驶用语,38,20,小站,是
5,市汽车总,市汽车总站,11405.6299,2242.1222,84,龙骧巴士,,,3转,,,38,20,大站,是
6,刀具城,刀具城,11405.7632,2242.0123,201,龙骧巴士,,,,,让座用语,38,20,小站,是
7,二运站,二运站,11405.7340,2241.7950,173,龙骧巴士,,,4转,,扒手用语,38,20,小站,是
8,金骏园,金骏园,11405.7772,2241.6504,149,龙骧巴士,,,,,卫生用语,38,20,小站,是
9,汉能,汉能,11405.9408,2241.2953,165,龙骧巴士,,,,,,38,30,终点站,是

