"站台编号",报站语音,站名,经度,纬度,角度,进站广告,出站广告,进站提示,出站提示,进站扩展,出站扩展,限速,站前里程,是否大站,外音开否
0,大令总站,大令总站,11406.1596,2241.2151,280,,,,,,,25,40,起点站,是
1,碧桂园北,碧桂园北门,11405.9647,2241.2999,340,,,,,,,25,20,小站,是
2,阳东教育,阳东教育局,11405.8563,2241.4943,328,,,,,,,25,20,大站,是
3,阳东实验,阳东实验学校,11405.8068,2241.624,340,,,,,,,25,20,小站,是
4,阳东法院,阳东法院,11405.7533,2241.7865,353,,,,,,,25,20,小站,是
5,阳东行政,阳东行政,11405.8069,2242.0602,N,,,,,,,35,20,大站,是
6,始兴路口,始兴路口,11405.9039,2242.2754,N,,,,,,,35,20,小站,是
7,金碧花园,金碧花园,11405.9349,2242.4455,5,,,,,,,35,20,小站,是
8,白沙总站,白沙总站,11405.8659,2242.7021,333,,,,,,,35,25,终点站,是

